State,sex,percentage
WA,Male,29.3
VIC,Male,27.4
TAS,Male,29.1
SA,Male,26.6
QLD,Male,26.3
NT,Male,38.1
NSW,Male,25.4
ACT,Male,33.9
WA,Female,48.3
VIC,Female,51.4
TAS,Female,43.2
SA,Female,44.1
QLD,Female,45.0
NT,Female,49.8
NSW,Female,49.7
ACT,Female,63.4
